datetime,x,y,z
1989-03-11 14:13:00,16575,-4124,54659
1989-03-11 14:13:10,16575,-4126,54658
1989-03-11 14:13:20,16576,-4125,54659
1989-03-11 14:13:30,16575,-4124,54659
1989-03-11 14:13:40,16575,-4126,54657
1989-03-11 14:13:50,16574,-4125,54658
1989-03-11 14:14:00,16575,-4125,54659
1989-03-11 14:14:10,16574,-4124,54660
1989-03-11 14:14:20,16575,-4124,54659
1989-03-11 14:14:30,16575,-4124,54659
1989-03-11 14:14:40,16574,-4122,54660
1989-03-11 14:14:50,16576,-4124,54657
1989-03-11 14:15:00,16574,-4122,54660
1989-03-11 14:15:10,16575,-4123,54658
1989-03-11 14:15:20,16574,-4123,54656
1989-03-11 14:15:30,16574,-4122,54657
1989-03-11 14:15:40,16575,-4120,54659
1989-03-11 14:15:50,16575,-4120,54658
1989-03-11 14:16:00,16575,-4121,54657
1989-03-11 14:16:10,16575,-4119,54659
1989-03-11 14:16:20,16576,-4120,54658
1989-03-11 14:16:30,16576,-4120,54658
1989-03-11 14:16:40,16575,-4119,54659
1989-03-11 14:16:50,16575,-4118,54659
1989-03-11 14:17:00,16575,-4118,54659
1989-03-11 14:17:10,16575,-4118,54658
1989-03-11 14:17:20,16575,-4118,54659
1989-03-11 14:17:30,16577,-4121,54656
1989-03-11 14:17:40,16576,-4119,54659
1989-03-11 14:17:50,16577,-4120,54659
1989-03-11 14:18:00,16576,-4122,54657
1989-03-11 14:18:10,16576,-4121,54659
1989-03-11 14:18:20,16576,-4121,54660
1989-03-11 14:18:30,16577,-4121,54660
1989-03-11 14:18:40,16576,-4122,54660
1989-03-11 14:18:50,16576,-4124,54658
1989-03-11 14:19:00,16577,-4123,54659
1989-03-11 14:19:10,16577,-4123,54660
1989-03-11 14:19:20,16576,-4123,54660
1989-03-11 14:19:30,16577,-4124,54660
1989-03-11 14:19:40,16576,-4123,54660
1989-03-11 14:19:50,16577,-4123,54660
1989-03-11 14:20:00,16575,-4123,54660
1989-03-11 14:20:10,16576,-4124,54658
1989-03-11 14:20:20,16575,-4123,54660
1989-03-11 14:20:30,16574,-4123,54659
1989-03-11 14:20:40,16574,-4123,54659
1989-03-11 14:20:50,16573,-4123,54660
1989-03-11 14:21:00,16574,-4123,54659
1989-03-11 14:21:10,16574,-4122,54661
1989-03-11 14:21:20,16573,-4123,54659
1989-03-11 14:21:30,16573,-4124,54658
1989-03-11 14:21:40,16573,-4122,54660
1989-03-11 14:21:50,16574,-4123,54659
1989-03-11 14:22:00,16573,-4123,54658
1989-03-11 14:22:10,16574,-4122,54660
1989-03-11 14:22:20,16574,-4122,54660
1989-03-11 14:22:30,16573,-4123,54659
1989-03-11 14:22:40,16573,-4124,54658
1989-03-11 14:22:50,16574,-4123,54659
1989-03-11 14:23:00,16573,-4123,54660
1989-03-11 14:23:10,16575,-4123,54659
1989-03-11 14:23:20,16575,-4124,54658
