Time,H,dT
1958-02-11 06:04:40,15934.825813551286,65079.99999987997
1958-02-11 06:05:00,15937.115099517425,65099.9999998791
1958-02-11 06:05:20,15939.404385483564,65119.99999987823
1958-02-11 06:05:40,15941.693671449702,65139.999999877364
1958-02-11 06:06:00,15917.240883108052,65159.99999976709
1958-02-11 06:06:20,15888.008110241783,65179.99999963726
1958-02-11 06:06:40,15859.043621722158,65199.99999950952
1958-02-11 06:07:00,15854.090636186533,65219.99999956927
1958-02-11 06:07:20,15849.137650650908,65239.99999962902
1958-02-11 06:07:40,15844.184665115283,65259.99999968877
1958-02-11 06:08:00,15839.231679579658,65279.99999974852
1958-02-11 06:08:20,15834.278694044033,65299.99999980827
1958-02-11 06:08:40,15829.325708508408,65319.99999986802
1958-02-11 06:09:00,15824.372722972783,65339.99999992777
1958-02-11 06:09:20,15819.41973743716,65359.99999998753
1958-02-11 06:09:40,15816.019570603648,65380.00000003651
1958-02-11 06:10:00,15817.832437934892,65400.00000004937
1958-02-11 06:10:20,15819.645305266136,65420.00000006222
1958-02-11 06:10:40,15821.45817259738,65440.00000007507
1958-02-11 06:11:00,15823.271039928624,65460.00000008792
1958-02-11 06:11:20,15825.083907259868,65480.00000010078
1958-02-11 06:11:40,15826.896774591114,65500.000000113636
1958-02-11 06:12:00,15828.709641922358,65520.000000126485
1958-02-11 06:12:20,15830.522509253602,65540.00000013933
1958-02-11 06:12:40,15832.335376584846,65560.0000001522
1958-02-11 06:13:00,15834.14824391609,65580.00000016505
1958-02-11 06:13:20,15835.961111247334,65600.0000001779
1958-02-11 06:13:40,15837.773978578578,65620.00000019075
1958-02-11 06:14:00,15839.586845909822,65640.00000020361
1958-02-11 06:14:20,15841.399713241066,65660.00000021646
1958-02-11 06:14:40,15843.21258057231,65680.00000022931
1958-02-11 06:15:00,15845.025447903554,65700.00000024217
1958-02-11 06:15:20,15846.838315234798,65720.00000025502
1958-02-11 06:15:40,15848.651182566044,65740.00000026787
1958-02-11 06:16:00,15850.464049897288,65760.00000028072
1958-02-11 06:16:20,15852.276917228532,65780.00000029358
1958-02-11 06:16:40,15854.089784559776,65800.00000030643
1958-02-11 06:17:00,15855.60752416074,65820.00000031354
1958-02-11 06:17:20,15855.847694647466,65840.00000029577
1958-02-11 06:17:40,15856.087865134192,65860.00000027799
1958-02-11 06:18:00,15856.328035620916,65880.0000002602
1958-02-11 06:18:20,15856.568206107642,65900.00000024243
1958-02-11 06:18:40,15856.808376594368,65920.00000022465
1958-02-11 06:19:00,15857.048547081095,65940.00000020687
1958-02-11 06:19:20,15857.28871756782,65960.0000001891
1958-02-11 06:19:40,15857.528888054547,65980.00000017132
1958-02-11 06:20:00,15857.769058541271,66000.00000015355
1958-02-11 06:20:20,15858.009229027997,66020.00000013577
1958-02-11 06:20:40,15858.249399514723,66040.00000011799
1958-02-11 06:21:00,15858.48957000145,66060.00000010022
1958-02-11 06:21:20,15858.729740488176,66080.00000008244
1958-02-11 06:21:40,15858.9699109749,66100.00000006467
1958-02-11 06:22:00,15859.210081461626,66120.00000004689
1958-02-11 06:22:20,15859.450251948352,66140.0000000291
1958-02-11 06:22:40,15859.690422435078,66160.00000001134
1958-02-11 06:23:00,15859.930592921804,66179.99999999355
1958-02-11 06:23:20,15860.170763408529,66199.99999997577
1958-02-11 06:23:40,15860.410933895255,66219.999999958
1958-02-11 06:24:00,15860.651104381981,66239.99999994022
1958-02-11 06:24:20,15860.891274868707,66259.99999992245
