Time,Z,dT
1958-02-10 17:40:20,44955.22363005571,20420.00000013135
1958-02-10 17:40:40,44955.05315197958,20440.000000121738
1958-02-10 17:41:00,44954.88267390344,20460.00000011213
1958-02-10 17:41:20,44954.712195827306,20480.00000010252
1958-02-10 17:41:40,44954.54171775117,20500.000000092907
1958-02-10 17:42:00,44954.371239675034,20520.0000000833
1958-02-10 17:42:20,44954.2007615989,20540.000000073687
1958-02-10 17:42:40,44954.03028352276,20560.000000064076
1958-02-10 17:43:00,44953.85980544663,20580.000000054468
1958-02-10 17:43:20,44953.6893273705,20600.000000044856
1958-02-10 17:43:40,44953.51884929436,20620.000000035245
1958-02-10 17:44:00,44953.34837121823,20640.000000025633
1958-02-10 17:44:20,44953.17789314209,20660.000000016025
1958-02-10 17:44:40,44953.00741506596,20680.000000006414
1958-02-10 17:45:00,44952.83693698982,20699.999999996802
1958-02-10 17:45:20,44952.72682093849,20719.999999988948
1958-02-10 17:45:40,44953.10797911637,20739.999999995383
1958-02-10 17:46:00,44953.48913729426,20760.000000001815
1958-02-10 17:46:20,44953.87029547214,20780.00000000825
1958-02-10 17:46:40,44954.251453650024,20800.000000014687
1958-02-10 17:47:00,44954.6326118279,20820.00000002112
1958-02-10 17:47:20,44955.01377000579,20840.000000027554
1958-02-10 17:47:40,44955.39492818367,20860.000000033986
1958-02-10 17:48:00,44955.77608636155,20880.00000004042
1958-02-10 17:48:20,44956.157244539434,20900.000000046857
1958-02-10 17:48:40,44956.53840271731,20920.00000005329
1958-02-10 17:49:00,44956.9195608952,20940.000000059725
1958-02-10 17:49:20,44957.30071907308,20960.00000006616
1958-02-10 17:49:40,44957.681877250965,20980.000000072592
1958-02-10 17:50:00,44958.063035428844,21000.000000079028
1958-02-10 17:50:20,44958.44419360673,21020.000000085463
1958-02-10 17:50:40,44958.82535178461,21040.000000091895
1958-02-10 17:51:00,44959.20650996249,21060.00000009833
1958-02-10 17:51:20,44959.587668140375,21080.000000104763
1958-02-10 17:51:40,44959.968826318254,21100.0000001112
1958-02-10 17:52:00,44960.34998449614,21120.000000117634
1958-02-10 17:52:20,44960.73114267402,21140.000000124066
1958-02-10 17:52:40,44961.112300851906,21160.0000001305
1958-02-10 17:53:00,44961.493459029785,21180.000000136937
1958-02-10 17:53:20,44961.87461720767,21200.00000014337
1958-02-10 17:53:40,44962.25577538555,21220.000000149805
1958-02-10 17:54:00,44962.63693356344,21240.000000156237
1958-02-10 17:54:20,44963.018091741316,21260.000000162672
1958-02-10 17:54:40,44963.399249919195,21280.000000169108
1958-02-10 17:55:00,44963.59475384377,21300.000000169428
1958-02-10 17:55:20,44963.71217991903,21320.00000016718
1958-02-10 17:55:40,44963.82960599428,21340.00000016493
1958-02-10 17:56:00,44963.94703206954,21360.000000162683
1958-02-10 17:56:20,44964.06445814479,21380.000000160435
1958-02-10 17:56:40,44964.18188422005,21400.000000158187
